timestamp,X,Y,Z
0,0.098559,-0.021706,-9.803475
1000,0.037930,-0.015342,-9.782033
2000,0.001156,-0.002669,-9.760134
3000,0.021500,0.028820,-9.797847
4000,0.041188,-0.032977,-9.800050
5000,-0.017740,-0.043260,-9.792552
6000,-0.033580,-0.000097,-9.784804
7000,0.000681,-0.022842,-9.818481
8000,-0.004625,-0.054432,-9.859671
9000,0.011931,0.065273,-9.785421
10000,-0.041560,0.017763,-9.803986
11000,0.017403,-0.007660,-9.805371
12000,-0.005395,0.023024,-9.824577
13000,0.037809,-0.049564,-9.855361
14000,-0.003053,-0.039414,-9.821081
15000,0.008888,-0.004959,-9.815461
16000,0.013424,0.010086,-9.810210
17000,-0.021637,0.018754,-9.831792
18000,-0.059038,-0.039015,-9.841208
19000,-0.004638,0.022829,-9.775259
20000,0.018278,-0.030060,-9.781302
21000,0.000335,-0.001309,-9.808838
22000,-0.067130,0.008775,-9.838935
23000,0.049038,0.036908,-9.817024
24000,0.071461,0.033182,-9.793566
25000,0.021051,0.031308,-9.787361
26000,0.015634,-0.059856,-9.767013
27000,-0.000011,0.005140,-9.810166
28000,0.013959,0.012389,-9.848878
29000,0.019791,0.037900,-9.827624
30000,0.027176,-0.011945,-9.828333
31000,0.002432,-0.058959,-9.819085
32000,0.014398,0.035757,-9.834931
33000,0.009381,-0.011480,-9.823477
34000,-0.002632,-0.017866,-9.804136
35000,-0.049931,-0.032013,-9.805311
36000,0.054141,0.010539,-9.852060
37000,-0.015185,0.044309,-9.807846
38000,0.017112,-0.009886,-9.833942
39000,-0.032033,-0.028798,-9.868306
40000,0.001515,-0.034533,-9.819101
41000,-0.032623,0.018404,-9.798638
42000,0.025048,-0.011682,-9.779889
43000,0.061651,-0.016161,-9.795641
44000,0.015383,0.009999,-9.799647
45000,-0.034643,0.016698,-9.793619
46000,0.012415,0.001855,-9.787250
47000,0.040644,-0.012108,-9.818520
48000,0.055172,-0.005941,-9.760554
49000,0.023166,0.026828,-9.830833
50000,-0.020816,0.015742,-9.833503
51000,-0.040616,-0.071207,-9.786631
52000,-0.025979,0.065658,-9.859050
53000,0.038282,-0.031456,-9.794982
54000,-0.009045,0.016021,-9.819674
55000,0.020520,-0.004127,-9.843133
56000,-0.021592,-0.008411,-9.781637
57000,0.029282,-0.004246,-9.792916
58000,-0.005096,0.000354,-9.819185
