timestamp,X,Y,Z
0,-0.013947,0.006287,0.004176
1000,-0.046416,0.003846,0.005252
2000,0.035130,0.006293,-0.025176
3000,-0.008422,0.069752,-0.009519
4000,0.035084,-0.002062,-0.062237
5000,-0.007598,0.017341,-0.039345
6000,-0.005692,-0.007354,-0.082497
7000,-0.019398,-0.015446,-0.097652
8000,0.003488,-0.002193,-0.090604
9000,0.039941,0.000030,-0.122007
10000,-0.040622,-0.029960,-0.125837
11000,0.007613,-0.000238,-0.148094
12000,0.005210,-0.045872,-0.206422
13000,0.038726,-0.035655,-0.189023
14000,0.017427,-0.020835,-0.216733
15000,-0.040559,-0.026231,-0.226657
16000,-0.006909,-0.024200,-0.228465
17000,-0.008556,-0.016166,-0.227739
18000,0.025611,-0.038170,-0.223090
19000,-0.038108,-0.010163,-0.241167
20000,-0.029003,-0.014430,-0.316402
21000,-0.002921,-0.069906,-0.309151
22000,0.007229,-0.024081,-0.374783
23000,0.024591,0.056254,-0.331269
24000,0.014955,0.008338,-0.392703
25000,0.032399,-0.030799,-0.369869
26000,-0.018361,-0.027906,-0.389103
27000,-0.003357,0.017251,-0.425471
28000,-0.011152,-0.015203,-0.388656
29000,-0.004931,-0.013173,-0.422812
30000,-0.018588,0.019898,-0.408336
31000,-0.050472,-0.041803,-0.470829
32000,0.025561,-0.022754,-0.445351
33000,-0.053313,0.002180,-0.483275
34000,-0.041519,0.012442,-0.483898
35000,0.003921,0.013407,-0.564889
36000,0.007142,-0.011522,-0.504487
37000,-0.022193,0.010176,-0.513928
38000,0.043091,-0.076616,-0.583465
39000,-0.006711,0.007289,-0.540622
40000,0.015116,-0.030743,-0.567021
41000,-0.014257,-0.016134,-0.603184
42000,0.019617,-0.001954,-0.681404
43000,-0.012188,-0.018871,-0.594934
44000,0.001672,0.021263,-0.644665
45000,0.051922,0.018212,-0.653141
46000,0.045716,0.007593,-0.697370
47000,-0.057053,-0.059301,-0.672700
48000,-0.008725,-0.027758,-0.716299
49000,-0.016246,-0.024450,-0.745116
50000,0.036029,0.011684,-0.733180
51000,0.001679,-0.018320,-0.735946
52000,-0.027692,0.022557,-0.726695
53000,-0.006862,-0.036761,-0.764192
54000,0.083439,0.017024,-0.796740
55000,-0.003395,0.014017,-0.790411
56000,-0.024106,-0.029145,-0.845367
57000,0.023361,0.005904,-0.802866
58000,0.022612,0.007395,-0.764478
59000,0.015477,0.009502,-0.867135
60000,0.009758,0.018476,-0.837315
61000,-0.006273,-0.025958,-0.793960
62000,0.067630,-0.035821,-0.848508
63000,0.014054,0.039794,-0.893699
64000,-0.010172,0.027151,-0.952265
65000,-0.039682,0.014590,-0.889540
66000,-0.063741,0.007643,-0.960869
67000,-0.015471,-0.015183,-0.973976
68000,0.013452,0.002741,-0.956045
69000,0.060071,-0.017870,-1.023779
70000,0.010063,-0.012959,-1.003840
71000,-0.021055,-0.044704,-1.070117
72000,0.041962,0.021693,-1.037482
73000,0.011136,-0.014958,-1.041911
74000,-0.002663,0.012178,-1.098686
75000,0.004608,0.091716,-1.063148
76000,0.023440,-0.021371,-1.140917
77000,-0.026280,-0.000582,-1.137266
78000,-0.071566,0.030494,-1.129034
79000,-0.017393,-0.022494,-1.137175
80000,0.013213,-0.027781,-1.187393
81000,-0.033953,0.044943,-1.186721
82000,-0.010161,0.032279,-1.227898
83000,0.000538,0.025799,-1.156024
84000,-0.007446,0.012844,-1.231241
85000,-0.034577,0.048969,-1.221704
86000,-0.028632,-0.009593,-1.246952
