timestamp,X,Y,Z,Rx,Ry,Rz,Vx,Vy,Vz,VRx,VRy,VRz,collided_counts
0,0.000000,-0.000000,-0.899990,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.009810,0.000000,0.000000,-0.000000,0
1000,0.000000,-0.000000,-0.899971,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.019605,0.000000,-0.000000,0.000000,0
2000,0.000000,-0.000000,-0.899941,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.029386,0.000000,-0.000000,-0.000000,0
3000,0.000000,-0.000000,-0.899902,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.039152,0.000000,-0.000000,-0.000000,0
4000,0.000000,-0.000000,-0.899853,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.048903,-0.000000,0.000000,-0.000000,0
5000,-0.000000,-0.000000,-0.899795,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.058639,-0.000000,0.000000,-0.000000,0
6000,-0.000000,-0.000000,-0.899726,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.068361,-0.000000,0.000000,0.000000,0
7000,-0.000000,-0.000000,-0.899648,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.078068,-0.000000,0.000000,0.000000,0
8000,-0.000000,-0.000000,-0.899560,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.087761,-0.000000,0.000000,0.000000,0
9000,-0.000000,-0.000000,-0.899463,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.097439,-0.000000,-0.000000,0.000000,0
10000,-0.000000,-0.000000,-0.899356,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.107102,-0.000000,-0.000000,0.000000,0
11000,-0.000000,-0.000000,-0.899239,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.116750,-0.000000,0.000000,0.000000,0
12000,-0.000000,-0.000000,-0.899113,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.126384,-0.000000,-0.000000,0.000000,0
13000,-0.000000,-0.000000,-0.898977,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.136003,-0.000000,-0.000000,0.000000,0
14000,-0.000000,-0.000000,-0.898831,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.145608,-0.000000,-0.000000,-0.000000,0
15000,-0.000000,-0.000000,-0.898676,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.155197,-0.000000,0.000000,-0.000000,0
16000,-0.000000,-0.000000,-0.898511,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.164773,-0.000000,0.000000,0.000000,0
17000,-0.000000,-0.000000,-0.898337,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.174333,-0.000000,0.000000,0.000000,0
18000,-0.000000,-0.000000,-0.898153,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.183879,-0.000000,0.000000,0.000000,0
19000,-0.000000,-0.000000,-0.897959,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.193411,-0.000000,0.000000,0.000000,0
20000,-0.000000,-0.000000,-0.897757,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.202927,-0.000000,0.000000,0.000000,0
21000,-0.000000,-0.000000,-0.897544,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.212430,-0.000000,0.000000,0.000000,0
22000,-0.000000,-0.000000,-0.897322,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.221917,-0.000000,0.000000,0.000000,0
23000,-0.000000,-0.000000,-0.897091,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.231390,-0.000000,-0.000000,0.000000,0
24000,-0.000000,-0.000000,-0.896850,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.240848,-0.000000,-0.000000,0.000000,0
25000,-0.000000,-0.000000,-0.896600,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.250292,-0.000000,-0.000000,0.000000,0
26000,-0.000000,-0.000000,-0.896340,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.259721,-0.000000,-0.000000,0.000000,0
27000,-0.000000,-0.000000,-0.896071,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.269136,-0.000000,-0.000000,0.000000,0
28000,-0.000000,-0.000000,-0.895792,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.278536,-0.000000,-0.000000,0.000000,0
29000,-0.000000,-0.000000,-0.895504,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.287922,-0.000000,-0.000000,0.000000,0
30000,-0.000000,-0.000000,-0.895207,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.297293,-0.000000,-0.000000,-0.000000,0
31000,-0.000000,-0.000000,-0.894900,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.306649,-0.000000,-0.000000,-0.000000,0
32000,-0.000000,-0.000000,-0.894584,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.315991,-0.000000,-0.000000,-0.000000,0
33000,-0.000000,-0.000000,-0.894259,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.325318,-0.000000,-0.000000,-0.000000,0
34000,-0.000000,-0.000000,-0.893924,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.334631,-0.000000,-0.000000,-0.000000,0
35000,-0.000000,-0.000000,-0.893581,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.343929,-0.000000,0.000000,-0.000000,0
36000,-0.000000,-0.000000,-0.893227,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.353213,-0.000000,0.000000,-0.000000,0
37000,-0.000000,-0.000000,-0.892865,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.362483,-0.000000,-0.000000,-0.000000,0
38000,-0.000000,-0.000000,-0.892493,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.371737,-0.000000,-0.000000,-0.000000,0
39000,-0.000000,-0.000000,-0.892112,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.380978,-0.000000,-0.000000,-0.000000,0
40000,-0.000000,-0.000000,-0.891722,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.390204,-0.000000,-0.000000,-0.000000,0
41000,-0.000000,-0.000000,-0.891322,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.399415,-0.000000,-0.000000,-0.000000,0
42000,-0.000000,-0.000000,-0.890914,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.408612,-0.000000,-0.000000,-0.000000,0
